,objective_description,objective_formulation,constraint_description,constraint_formulation,labels,description,problem_name
186,"""The goal is to minimize the total number of hand sanitizer machines""",$\min ( \text{numManual} + \text{numMotionActivated} )$,auxiliary constraint,$totalMachines = numManual + numMotionActivated$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}","A mall buys two types of hand sanitizer machines, which have delivery rates defined by 'DeliverRate' and energy consumptions defined by 'EnergyConsumption'. Due to hygiene concerns, at most 'MaxManualPercentage' of the machines can be manual, and at least 'MinMotionActivated' must be motion activated. The mall must achieve a minimum total delivery rate of 'MinDeliverRate' and adhere to a maximum total energy consumption of 'MaxEnergyConsumption'. The goal is to determine the number of each type of machine to minimize the total number of machines.",71
187,"""The goal is to minimize the total number of hand sanitizer machines""",$\min ( \text{numManual} + \text{numMotionActivated} )$,At least 'MinMotionActivated' machines must be motion activated,$\\text{numMotionActivated} \\geq \\text{MinMotionActivated}$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}","A mall buys two types of hand sanitizer machines, which have delivery rates defined by 'DeliverRate' and energy consumptions defined by 'EnergyConsumption'. Due to hygiene concerns, at most 'MaxManualPercentage' of the machines can be manual, and at least 'MinMotionActivated' must be motion activated. The mall must achieve a minimum total delivery rate of 'MinDeliverRate' and adhere to a maximum total energy consumption of 'MaxEnergyConsumption'. The goal is to determine the number of each type of machine to minimize the total number of machines.",71
188,"""The goal is to minimize the total number of hand sanitizer machines""",$\min ( \text{numManual} + \text{numMotionActivated} )$,The total number of machines must achieve a minimum delivery rate of 'MinDeliverRate',$DeliverRate[0] \\cdot numManual + DeliverRate[1] \\cdot numMotionActivated \\geq MinDeliverRate$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}","A mall buys two types of hand sanitizer machines, which have delivery rates defined by 'DeliverRate' and energy consumptions defined by 'EnergyConsumption'. Due to hygiene concerns, at most 'MaxManualPercentage' of the machines can be manual, and at least 'MinMotionActivated' must be motion activated. The mall must achieve a minimum total delivery rate of 'MinDeliverRate' and adhere to a maximum total energy consumption of 'MaxEnergyConsumption'. The goal is to determine the number of each type of machine to minimize the total number of machines.",71
189,"""The goal is to minimize the total number of hand sanitizer machines""",$\min ( \text{numManual} + \text{numMotionActivated} )$,The total energy consumption of all machines must not exceed 'MaxEnergyConsumption',$EnergyConsumption[0] \\times numManual + EnergyConsumption[1] \\times numMotionActivated \\leq MaxEnergyConsumption$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}","A mall buys two types of hand sanitizer machines, which have delivery rates defined by 'DeliverRate' and energy consumptions defined by 'EnergyConsumption'. Due to hygiene concerns, at most 'MaxManualPercentage' of the machines can be manual, and at least 'MinMotionActivated' must be motion activated. The mall must achieve a minimum total delivery rate of 'MinDeliverRate' and adhere to a maximum total energy consumption of 'MaxEnergyConsumption'. The goal is to determine the number of each type of machine to minimize the total number of machines.",71
190,"""The goal is to minimize the total number of shops that the company builds""",$\min (\text{numSmallShops} + \text{numLargeShops})$,The total number of hot dogs produced per day by all small and large shops must be at least MinHotDogsPerDay,$numSmallShops \\times HotDogsPerDaySmallShop + numLargeShops \\times HotDogsPerDayLargeShop \\geq MinHotDogsPerDay$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Workforce Management'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}",A company can build two types of shops: a small shop and a large shop. A small shop can produce HotDogsPerDaySmallShop hot dogs per day and requires WorkersPerSmallShop workers. A large shop can produce HotDogsPerDayLargeShop hot dogs per day and requires WorkersPerLargeShop workers. The company must produce at least MinHotDogsPerDay hot dogs per day but only has TotalWorkers workers available. How many of each type of shop should the company build to minimize the total number of shops?,72
191,"""The goal is to minimize the total number of shops that the company builds""",$\min (\text{numSmallShops} + \text{numLargeShops})$,The total number of workers needed for all small and large shops should not exceed TotalWorkers,$WorkersPerSmallShop \\times numSmallShops + WorkersPerLargeShop \\times numLargeShops \\leq TotalWorkers$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Workforce Management'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}",A company can build two types of shops: a small shop and a large shop. A small shop can produce HotDogsPerDaySmallShop hot dogs per day and requires WorkersPerSmallShop workers. A large shop can produce HotDogsPerDayLargeShop hot dogs per day and requires WorkersPerLargeShop workers. The company must produce at least MinHotDogsPerDay hot dogs per day but only has TotalWorkers workers available. How many of each type of shop should the company build to minimize the total number of shops?,72
192,,$\min (x4 + x3)$,The total luggage capacity from 4-wheeler and 3-wheeler vehicles combined should be at least MinLuggage per day,$x4 \times LuggageCapacity4Wheeler + x3 \times LuggageCapacity3Wheeler \geq MinLuggage$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Selection'], 'domains': ['Transportation & Logistics', 'Environmental and Sustainability']}","An airport buys two types of vehicles, a 4-wheeler and 3-wheeler, to help move luggage. A 4-wheeler vehicle can move LuggageCapacity4Wheeler luggage per day and produces Pollution4Wheeler units of pollutant per day. A 3-wheeler vehicle can move LuggageCapacity3Wheeler luggage per day and produces Pollution3Wheeler units of pollutant per day. The airport needs to be able to move at least MinLuggage luggage per day. To avoid over-polluting the airport, they can produce at most MaxPollution units of pollutant per day. How many of each vehicle should the airport buy to minimize the total number of vehicles needed.",73
193,,$\min (x4 + x3)$,The total pollution produced by 4-wheeler and 3-wheeler vehicles combined should be at most MaxPollution units per day,$(\\text{Pollution4Wheeler} \\times x4) + (\\text{Pollution3Wheeler} \\times x3) \\leq \\text{MaxPollution}$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Selection'], 'domains': ['Transportation & Logistics', 'Environmental and Sustainability']}","An airport buys two types of vehicles, a 4-wheeler and 3-wheeler, to help move luggage. A 4-wheeler vehicle can move LuggageCapacity4Wheeler luggage per day and produces Pollution4Wheeler units of pollutant per day. A 3-wheeler vehicle can move LuggageCapacity3Wheeler luggage per day and produces Pollution3Wheeler units of pollutant per day. The airport needs to be able to move at least MinLuggage luggage per day. To avoid over-polluting the airport, they can produce at most MaxPollution units of pollutant per day. How many of each vehicle should the airport buy to minimize the total number of vehicles needed.",73
194,The goal is to maximize the amount of fish the fisherman can catch.,$\max FishCaughtNet \times acresNet + FishCaughtLine \times acresLine$,The total number of acres fished using net and fishing line should not exceed the total area of the lake,$\text{acresNet} + \text{acresLine} \leq \text{TotalArea}$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Agriculture and Forestry', 'Environmental and Sustainability']}","A man fishes in a TotalArea lake and can catch fish either using a net or fishing line. For each acre of the lake, using a net will catch FishCaughtNet fish and requires BaitRequiredNet units of bait but also causes PainNet units of pain for the fisherman. For each acre of the lake, using a fishing line will catch FishCaughtLine fish and requires BaitRequiredLine units of bait but also causes PainLine units of pain for the fisherman. The fisherman has available TotalBait units of bait and can tolerate at most MaxPain units of pain. For how many acres each should he use each fishing method to maximize the amount of fish he can catch?",75
195,The goal is to maximize the amount of fish the fisherman can catch.,$\max FishCaughtNet \times acresNet + FishCaughtLine \times acresLine$,The total bait used for fishing with both methods should not exceed the total available units of bait,$BaitRequiredNet \times acresNet + BaitRequiredLine \times acresLine \leq TotalBait$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Agriculture and Forestry', 'Environmental and Sustainability']}","A man fishes in a TotalArea lake and can catch fish either using a net or fishing line. For each acre of the lake, using a net will catch FishCaughtNet fish and requires BaitRequiredNet units of bait but also causes PainNet units of pain for the fisherman. For each acre of the lake, using a fishing line will catch FishCaughtLine fish and requires BaitRequiredLine units of bait but also causes PainLine units of pain for the fisherman. The fisherman has available TotalBait units of bait and can tolerate at most MaxPain units of pain. For how many acres each should he use each fishing method to maximize the amount of fish he can catch?",75
